way_id,highway,name,oneway,maxspeed_kmh,node_refs
4489470,primary,улица Ардагерлер,no,70,1825792054 1825791899 10989365436 7599281823 10989365433 10983554485 10983554484 10989365438 10989365440 10989365444 1825792049 10989365447 10983554483 2356208057 6583495292 1825792077 11850279762 10989322302 11001193753 10983554482 10989322298 1825791957 10989322295 10989322289 11001193757 10983554481 10989322311 1825791826 10989322313 10989322324 11001193759 10983554480 1825791889 11001193765 2356208067 10971305628 1825792035 10983554479 10989322307 1825792087 11001193774 10970383640 4272035969 10971305627 1825791954 1825792036 1825792056 10971474873 1825792025 10970383691 10971305636 10971305626 10971474857 1825791934 10971305629 10971474856 10971305625 10971474879 10971474899 10971305644 10971305624 10971474916 10971474920 1825808053 1825792072 10970384102 10970384093 10943553129 1825791897 10970384067 1825792073 10970383901 10943553173 10943553207 1825791844 10943552909 12136904526 10946230436 1825791928 10946230428 1825791900 1825792015 9348595301 10943643965 1825791917 10943643966 1825791839 10295707747 6863329710 4665586818 1825791932 10943532790 10943532789 4665586822 10943552728 10946696868 4665588210 1825792032 10943552767 10946698732 4665588432 4665588212 4665588256 1825792040 10946698744 10943552621 10794906035 1825791872 11207902763 4665664844 457343917
22735404,trunk,Райымбек даңғылы,yes,90,292229172 3208211867 243883410
23456586,trunk,,yes,90,243881067 9807865263 3719763539 1389358651 1389358647 1389358642 1389358641 254027091 1389358631 254027092 4418238112 1389358623 1389358619 1389358618 12298722707 2198752628 1389358596 2198752147 2198750224 2198750681 12298722705 292229172
23648735,tertiary,улица Маргулана,no,40,2001352125 10290708256 10923154028 9946467977 1980870682 9939594030 4355758243 4353165372
23982247,residential,Дінмұхамед Қонаев көшесі,no,25,3056765533 2817468068 3056765552 2817468076 13137367246 3056765574 297129353 3056765576 10108876115
26560402,primary,,yes,70,291160397 6512355861 12407212257 2400285537 2400285539
26561002,secondary,улица Аксайская,no,50,256230840 11886239033 2870929991 2870929992
26561376,secondary,,yes,50,291170106 5213417935 1955222990 4418237479 291170213
26561391,tertiary,улица Кулыбекова,no,40,299436359 2485239158 299436358 6208654516 299436330 299436328 291170327 299436327 299436160 2493228321
26561429,residential,,no,25,7548675271 1955223009 12863086011 3073051603 1955222997 12863086067 3073051583 12863086046 3073051571 4972544804 3073051554 4972544805 4972544710 12862930440 4972544682 12862930441 12863062870 12862930446 12862930444 12862930442 13184470438 13184470437 13184470436 3073051442
26561452,residential,улица Керимсал,no,25,12862930425 3073051314 3073051331 6208793573 3073051438 3073051442
26561455,secondary,улица Онгарсыновой,no,50,291170330 13133282578 13133282577 10285562436 2476938492 2476938497 2476938504 2476938511 9584751782 2476938523 2476938526 13133282573 3073050187 3073050199 9697468601 13133282553 2312848140
26643036,unclassified,,no,30,10752635247 10752635249 10753333739 10753333740 292234338 8616977206 10753333741 8616977207 10753333742 10753333743 10753333886 10753333887 292234351 10753333744 10242260675 10242260674 10753333948 8616977208 10753333870 10242260673 10242260671 10242260676 10752635250 10242260677 10242260679 10753333746 10242260678 10242260681 10242260680 10242260682 10753333747 292234353 10753333748 292234355 10752635251 8616977209 10753333749 10242260683 10753333750 10753333752 10753333751 10753333753 8616977210 10753333925 10753333754 10753333755 8616977211 10753333756 292234364 10753333757 10753333758 10242260687 10753333759 292234386 10753333760 10242260688 10753333761 10753333762 10242260689 10753333763 292234393 10753333764 10242260691 10242260690 10753333765 10242260692 292234399 10753333766 10979093220 10242260693 10242260694 10242260695 10242260696 10242260697 10242260698 10242260699 10242260700 10242260701 10242260702 10242260703 10242260705 10242260706 10242260704
26643037,secondary,улица Достык,no,50,12954146497 11834874669 11834874670 10929477978 5963345744 4831146494 10927977844 10927977843 10927977842 4831133780 10927977841 10929477980 10927977840 10927977925 10927977839 9650508906 6156218961 10927978031 10929477985 10929477982 10927977998 10929477992 10927978050 292234403 10927978051 10927978052 7599454143 11182556535 11182521086 11182521087 11182556450 7599465824 11182521088 7599465823 3726550945 7599465821 3726550946 7599465822 7599439867 7599465820 11182521089 11182521090 11182521091 292234415 11182521092 11182556538 11182521093 3726550947 11182556737 3726550948 11182521094 7599439252 11183507721 7599439256 3930566952 3930567057 7599439254 292234416 7599439253 11182521095 7599439255 11182521096 11183507737 11182521097 11182521098 11182521099 3930567074 11182521100 11182521101 11183507739 11182521102 11182521103 11182521104 11182521105 11182521106 3930567100 11183507746 11182521107 11182521108 11182521109 11182521110 11182521111 11182521112 11182521113 11182521114 11183507752 11182521115 292234418 3930567111 11182521116 11182521117 11183507754 10924868740 10810558729 2386222497 11182521118 11182521119 11182521120 3936058535 11182679245 11182521121 11182679260 11182521122 11182521123 11182679270 11182521124 2386222506 11182521125 11056415470 11183507973 11182521126 11182521127 9715920455 11182675084 9715920418 11182521128 11182521130 11182521129 11188299172 11182521131 11182521132 9715920493 11182521133 11182521134 2386222576
